ء	ʔ
أنباء	ʔ a n b aː ʔ
أنباض	ʔ a n b aː dˤ
أنبج	ʔ a n b dʒ
أنبج	ʔ a n b dʒ
أنبذ	ʔ a n b ð
أنبوب	ʔ a n b u b
أنبوبة	ʔ a n b u b a
أنبيق	ʔ a n b i q
أنت	ʔ a n t
أنت	ʔ a n t
أنت	ʔ a n t
أنتاركتيكا	ʔ a n t aː r k t i k aː
أنتج	ʔ a n t dʒ
أنتم	ʔ a n t m
أنتما	ʔ a n t m aː
أنتن	ʔ a n t n
أنتيكخانة	ʔ a n t i k x aː n a
أنثوي	ʔ a n θ u iː
أنثى	ʔ a n θ aː
أنجدان	ʔ a n dʒ d aː n
أنجرة	ʔ a n dʒ r a
أنجرة	ʔ a n dʒ r a
أنجرة	ʔ a n dʒ r a
أنجم	ʔ a n dʒ m
أنجوج	ʔ a n dʒ u dʒ
أنجى	ʔ a n dʒ aː
أندر	ʔ a n d r
أندر	ʔ a n d r
أندراوس	ʔ a n d r aː w s
أندلسي	ʔ a n d l s iː
أندورا	ʔ a n d u r aː
أنزروت	ʔ a n z r u t
أنزع	ʔ a n z ʕ
أنزل	ʔ a n z l
أنسجة	ʔ a n s dʒ a
أنسون	ʔ a n s u n
أنسى	ʔ a n s aː
أنصح	ʔ a n sˤ ħ
أنصف	ʔ a n sˤ f
أنضب	ʔ a n dˤ b
أنضج	ʔ a n dˤ dʒ
أنطاكية	ʔ a n tˤ aː k i a
أنطاكية	ʔ a n tˤ aː k i a
أنطاليا	ʔ a n tˤ aː l i aː
أنطالية	ʔ a n tˤ aː l i a
أنطلياس	ʔ a n tˤ l i aː s
أنطى	ʔ a n tˤ aː
أنعت	ʔ a n ʕ t
أنعل	ʔ a n ʕ l
أنعم	ʔ a n ʕ m
أنعم	ʔ a n ʕ m
أنعم	ʔ a n ʕ m
أنغولا	ʔ a n ɣ u l aː
أنغولا	ʔ a n ɣ u l aː
أنف	ʔ a n f
أنف	ʔ a n f
أنف	ʔ a n f
أنف	ʔ a n f
أنفاق	ʔ a n f aː q
أنفحة	ʔ a n f ħ a
أنفق	ʔ a n f q
أنقذ	ʔ a n q ð
أنقرة	ʔ a n q r a
أنقرديا	ʔ a n q r d i aː
أنقرديا	ʔ a n q r d i aː
أنقض	ʔ a n q dˤ
أنقض	ʔ a n q dˤ
أنقليس	ʔ a n q l i s
أنقليس	ʔ a n q l i s
أنكر	ʔ a n k r
أنما	ʔ a n m aː
أنمش	ʔ a n m ʃ
أنمص	ʔ a n m sˤ
أنملة	ʔ a n m l a
أنموذج	ʔ a n m u ð dʒ
أنهار	ʔ a n h aː r
أنهك	ʔ a n h k
أنهى	ʔ a n h aː
أنوار	ʔ a n u aː r
أنواط	ʔ a n u aː tˤ
أنواع	ʔ a n u aː ʕ
أنور	ʔ a n u r
أنوق	ʔ a n u q
أنيس	ʔ a n i s
أنيسون	ʔ a n i s u n
أنيون	ʔ a n i w n
أهاج	ʔ a h aː dʒ
أهبة	ʔ a h b a
أهداب	ʔ a h d aː b
أهدب	ʔ a h d b
أهدب	ʔ a h d b
أهدى	ʔ a h d aː
أهر	ʔ a h r
أهر	ʔ a h r
أهلا	ʔ a h l aː
أهلة	ʔ a h l a
أهلي	ʔ a h l iː
أهلية	ʔ a h l i a
أهمية	ʔ a h m i a
أهوج	ʔ a h u dʒ
أهول	ʔ a h u l
أهيف	ʔ a h i f
أو	ʔ a uː
أوان	ʔ a u aː n
أوبئة	ʔ a u b ʔ i a
أوبرا	ʔ a u b r aː
أوبرا	ʔ a u b r aː
أوبريت	ʔ a u b r i t
أوتاد	ʔ a u t aː d
أوتاوا	ʔ a u t aː w aː
أوتوستراد	ʔ a u t u s t r aː d
أوتوستراد	ʔ a u t u s t r aː d
أوتوماتيكي	ʔ a u t u m aː t i k iː
أوتيل	ʔ a u t i l
أوج	ʔ a u dʒ
أوجب	ʔ a u dʒ b
أوجب	ʔ a u dʒ b
أوجد	ʔ a u dʒ d
أوجد	ʔ a u dʒ d
أوجد	ʔ a u dʒ d
أوجد	ʔ a u dʒ d
أوجز	ʔ a u dʒ z
أوجس	ʔ a u dʒ s
أوجع	ʔ a u dʒ ʕ
أوحال	ʔ a u ħ aː l
أوحد	ʔ a u ħ d
أوحل	ʔ a u ħ l
أودى	ʔ a u d aː
أور	ʔ a u r
أوراق	ʔ a u r aː q
أورانوس	ʔ a u r aː n u s
أورانيا	ʔ a u r aː n i aː
أورانيوم	ʔ a u r aː n i w m
أوربة	ʔ a u r b a
أوربي	ʔ a u r b iː
أورشليم	ʔ a u r ʃ l i m
أوركسترا	ʔ a u r k s t r aː
أورنكزيب	ʔ a u r n k z i b
أوروبا	ʔ a u r u b aː
أوروبة	ʔ a u r u b a
أوروبي	ʔ a u r u b iː
أوروغواي	ʔ a u r u ɣ u aː iː
أورى	ʔ a u r aː
أوريغون	ʔ a u r i ɣ u n
أوريغون	ʔ a u r i ɣ u n
أوريغون	ʔ a u r i ɣ u n
أوزار	ʔ a u z aː r
أوزبكستان	ʔ a u z b k s t aː n
أوزبكستان	ʔ a u z b k s t aː n
أوساكا	ʔ a u s aː k aː
أوشك	ʔ a u ʃ k
أوصى	ʔ a u sˤ aː
أوضح	ʔ a u dˤ ħ
أوعية	ʔ a u ʕ i a
أوغندا	ʔ a u ɣ n d aː
أوقد	ʔ a u q d
أوقف	ʔ a u q f
أوقيانوسيا	ʔ a u q i aː n u s i aː
أوقية	ʔ a u q i a
أوقية	ʔ a u q i a
أوكراني	ʔ a u k r aː n iː
أوكرانيا	ʔ a u k r aː n i aː
أوكلاهوما	ʔ a u k l aː h u m aː
أوكلاهوما	ʔ a u k l aː h u m aː
أوكيناوا	ʔ a u k i n aː w aː
أول	ʔ a u l
أولئك	ʔ a u l ʔ i k
أولا	ʔ a u l aː
أولاد	ʔ a u l aː d
أولمبي	ʔ a u l m b iː
أولو	ʔ a u l uː
أولوية	ʔ a u l u j a
أولى	ʔ a u l aː
أولى	ʔ a u l aː
أولى	ʔ a u l aː
أولي	ʔ a u l iː
أولي	ʔ a u l iː
أولياء	ʔ a u l i aː ʔ
أونتاريو	ʔ a u n t aː r i uː
أونسة	ʔ a u n s a
أونصة	ʔ a u n sˤ a
أويغور	ʔ a u j ɣ u r
أويغورستان	ʔ a u j ɣ u r s t aː n
أي	ʔ a iː
أي	ʔ a iː
أياد	ʔ a i aː d
أيام	ʔ a i aː m
أية	ʔ a i a
أيدع	ʔ a i d ʕ
أيرلندا	ʔ a i r l n d aː
أيش	ʔ a i ʃ
أيقاظ	ʔ a i q aː ðˤ
أيقظ	ʔ a i q ðˤ
أيقن	ʔ a i q n
أيل	ʔ a i l
أيل	ʔ a i l
أيل	ʔ a i l
أيلول	ʔ a i l u l
أيمان	ʔ a i m aː n
أين	ʔ a i n
أين	ʔ a i n
أين	ʔ a i n
أيهقان	ʔ a i h q aː n
أيهقان	ʔ a i h q aː n
أيوب	ʔ a i w b
أيوب	ʔ a i w b
أيوبي	ʔ a i w b iː
أيون	ʔ a i w n
ؤ	ʔ u
ؤ	ʔ u
إ	ʔ i
إباءة	ʔ i b aː ʔ a
إباحة	ʔ i b aː ħ a
إباحي	ʔ i b aː ħ iː
إباحية	ʔ i b aː ħ i a
إبادة	ʔ i b aː d a
إباضية	ʔ i b aː dˤ i a
إبالة	ʔ i b aː l a
إبالة	ʔ i b aː l a
إبان	ʔ i b aː n
إبان	ʔ i b aː n
إبتات	ʔ i b t aː t
إبجال	ʔ i b dʒ aː l
إبداع	ʔ i b d aː ʕ
إبداعي	ʔ i b d aː ʕ iː
إبراز	ʔ i b r aː z
إبراهيم	ʔ i b r aː h i m
إبرة	ʔ i b r a
إبريز	ʔ i b r i z
إبريسم	ʔ i b r i s m
إبريق	ʔ i b r i q
إبريق	ʔ i b r i q
إبريل	ʔ i b r i l
إبزيم	ʔ i b z i m
إبصار	ʔ i b sˤ aː r
إبط	ʔ i b tˤ
إبطاء	ʔ i b tˤ aː ʔ
إبطال	ʔ i b tˤ aː l
إبعاد	ʔ i b ʕ aː d
إبل	ʔ i b l
إبليز	ʔ i b l i z
إبليس	ʔ i b l i s
إبليسي	ʔ i b l i s iː
إبيقوري	ʔ i b i q u r iː
إتاحة	ʔ i t aː ħ a
إتاوة	ʔ i t aː w a
إتقان	ʔ i t q aː n
إتلاف	ʔ i t l aː f
إثبات	ʔ i θ b aː t
إثم	ʔ i θ m
إثم	ʔ i θ m
إثم	ʔ i θ m
إثمار	ʔ i θ m aː r
إثمد	ʔ i θ m d
إثيوبيا	ʔ i θ i w b i aː
إجار	ʔ i dʒ aː r
إجازة	ʔ i dʒ aː z a
إجاص	ʔ i dʒ aː sˤ
إجاصة	ʔ i dʒ aː sˤ a
إجانة	ʔ i dʒ aː n a
إجبار	ʔ i dʒ b aː r
إجباري	ʔ i dʒ b aː r iː
إجماع	ʔ i dʒ m aː ʕ
إجمالي	ʔ i dʒ m aː l iː
إجهاض	ʔ i dʒ h aː dˤ
إحارة	ʔ i ħ aː r a
إحاطة	ʔ i ħ aː tˤ a
إحدى	ʔ i ħ d aː
إحراز	ʔ i ħ r aː z
إحساس	ʔ i ħ s aː s
إحسان	ʔ i ħ s aː n
إحصاء	ʔ i ħ sˤ aː ʔ
إحصائي	ʔ i ħ sˤ aː ʔ i iː
إحضار	ʔ i ħ dˤ aː r
إحليل	ʔ i ħ l i l
إحليلي	ʔ i ħ l i l iː
إخصاب	ʔ i x sˤ aː b
إخطاء	ʔ i x tˤ aː ʔ
إخطار	ʔ i x tˤ aː r
إخفاء	ʔ i x f aː ʔ
إخوة	ʔ i x u a
إدارة	ʔ i d aː r a
إداري	ʔ i d aː r iː
إدحية	ʔ i d ħ i a
إدرار	ʔ i d r aː r
إدراك	ʔ i d r aː k
إدريس	ʔ i d r i s
إدريس	ʔ i d r i s
إدلب	ʔ i d l b
إدمان	ʔ i d m aː n
إدهاش	ʔ i d h aː ʃ
إذ	ʔ i ð
إذا	ʔ i ð aː
إذا	ʔ i ð aː
إذاعة	ʔ i ð aː ʕ a
إذخر	ʔ i ð x r
إذعان	ʔ i ð ʕ aː n
إذلال	ʔ i ð l aː l
إذما	ʔ i ð m aː
إذهاب	ʔ i ð h aː b
إرادي	ʔ i r aː d iː
إربيان	ʔ i r b i aː n
إرتريا	ʔ i r t r i aː
إرث	ʔ i r θ
إردب	ʔ i r d b
إردب	ʔ i r d b
إرزاز	ʔ i r z aː z
إرزيز	ʔ i r z i z
إرسال	ʔ i r s aː l
إرضاع	ʔ i r dˤ aː ʕ
إرعاد	ʔ i r ʕ aː d
إرغام	ʔ i r ɣ aː m
إرهاب	ʔ i r h aː b
إرهابي	ʔ i r h aː b iː
إرهاق	ʔ i r h aː q
إريتريا	ʔ i r i t r i aː
إريس	ʔ i r i s
إزاء	ʔ i z aː ʔ
إزاحة	ʔ i z aː ħ a
إزار	ʔ i z aː r
إزالة	ʔ i z aː l a
إزعاج	ʔ i z ʕ aː dʒ
إزميل	ʔ i z m i l
إسبانيا	ʔ i s b aː n i aː
إسبانية	ʔ i s b aː n i a
إسبرانتو	ʔ i s b r aː n t uː
إسبرطة	ʔ i s b r tˤ a
إسبرطة	ʔ i s b r tˤ a
إسبغول	ʔ i s b ɣ u l
إستاد	ʔ i s t aː d
إستار	ʔ i s t aː r
إستبرق	ʔ i s t b r q
إستجة	ʔ i s t dʒ a
إستديو	ʔ i s t d i uː
إستوديو	ʔ i s t u d i uː
إستوكهولم	ʔ i s t u k h u l m
إستوكهولم	ʔ i s t u k h u l m
إستونيا	ʔ i s t u n i aː
إسحاق	ʔ i s ħ aː q
إسخاط	ʔ i s x aː tˤ
إسرائيل	ʔ i s r aː ʔ i i l
إسرائيلي	ʔ i s r aː ʔ i i l iː
إسراف	ʔ i s r aː f
إسرنج	ʔ i s r n dʒ
إسطبل	ʔ i s tˤ b l
إسطرك	ʔ i s tˤ r k
إسطنبول	ʔ i s tˤ n b u l
إسفنج	ʔ i s f n dʒ
إسفنجيات	ʔ i s f n dʒ i aː t
إسفنط	ʔ i s f n tˤ
إسفنط	ʔ i s f n tˤ
إسفيدباج	ʔ i s f i d b aː dʒ
إسقربوط	ʔ i s q r b u tˤ
إسقنقور	ʔ i s q n q u r
إسكاف	ʔ i s k aː f
إسكان	ʔ i s k aː n
إسكتلندا	ʔ i s k t l n d aː
إسكتلندي	ʔ i s k t l n d iː
إسكندراني	ʔ i s k n d r aː n iː
إسلام	ʔ i s l aː m
إسلامية	ʔ i s l aː m i a
إسليح	ʔ i s l i ħ
إسماعيل	ʔ i s m aː ʕ i l
إسماعيل	ʔ i s m aː ʕ i l
إسماعيل	ʔ i s m aː ʕ i l
إسماعيلي	ʔ i s m aː ʕ i l iː
إسناد	ʔ i s n aː d
إسهال	ʔ i s h aː l
إسواتيني	ʔ i s u aː t i n iː
إسوة	ʔ i s u a
إشبيلية	ʔ i ʃ b i l i a
إشبيلية	ʔ i ʃ b i l i a
إشبيلية	ʔ i ʃ b i l i a
إشبين	ʔ i ʃ b i n
إشبينة	ʔ i ʃ b i n a
إشراف	ʔ i ʃ r aː f
إشعاعي	ʔ i ʃ ʕ aː ʕ iː
إشغال	ʔ i ʃ ɣ aː l
إشفى	ʔ i ʃ f aː
إشكال	ʔ i ʃ k aː l
إشكالية	ʔ i ʃ k aː l i a
إشهار	ʔ i ʃ h aː r
إصابة	ʔ i sˤ aː b a
إصبع	ʔ i sˤ b ʕ
إصدار	ʔ i sˤ d aː r
إصرار	ʔ i sˤ r aː r
إصطبل	ʔ i sˤ tˤ b l
إصطرك	ʔ i sˤ tˤ r k
إصغاء	ʔ i sˤ ɣ aː ʔ
إصغار	ʔ i sˤ ɣ aː r
إصقنقور	ʔ i sˤ q n q u r
إصلاء	ʔ i sˤ l aː ʔ
إضاعة	ʔ i dˤ aː ʕ a
إضافة	ʔ i dˤ aː f a
إضافي	ʔ i dˤ aː f iː
إضعاف	ʔ i dˤ ʕ aː f
إطار	ʔ i tˤ aː r
إطالية	ʔ i tˤ aː l i a
إطراء	ʔ i tˤ r aː ʔ
إطرية	ʔ i tˤ r i a
إطريفل	ʔ i tˤ r i f l
إطفاء	ʔ i tˤ f aː ʔ
إطفائي	ʔ i tˤ f aː ʔ i iː
إظماء	ʔ i ðˤ m aː ʔ
إظهار	ʔ i ðˤ h aː r
إعجاز	ʔ i ʕ dʒ aː z
إعدام	ʔ i ʕ d aː m
إعراب	ʔ i ʕ r aː b
إعزاز	ʔ i ʕ z aː z
إعصار	ʔ i ʕ sˤ aː r
إعطاء	ʔ i ʕ tˤ aː ʔ
إعفاء	ʔ i ʕ f aː ʔ
إعلاء	ʔ i ʕ l aː ʔ
إعلام	ʔ i ʕ l aː m
إعلامي	ʔ i ʕ l aː m iː
إعلان	ʔ i ʕ l aː n
إعماد	ʔ i ʕ m aː d
إعياء	ʔ i ʕ i aː ʔ
إغريقي	ʔ i ɣ r i q iː
إغليق	ʔ i ɣ l i q
إغماء	ʔ i ɣ m aː ʔ
إغناطيوس	ʔ i ɣ n aː tˤ i w s
إفادة	ʔ i f aː d a
إفراد	ʔ i f r aː d
إفراز	ʔ i f r aː z
إفراغ	ʔ i f r aː ɣ
إفراغة	ʔ i f r aː ɣ a
إفرنج	ʔ i f r n dʒ
إفرنج	ʔ i f r n dʒ
إفرنجي	ʔ i f r n dʒ iː
إفرند	ʔ i f r n d
إفريقيا	ʔ i f r i q i aː
إفريقية	ʔ i f r i q i a
إفريقية	ʔ i f r i q i a
إفريقية	ʔ i f r i q i a
إفساد	ʔ i f s aː d
إفطار	ʔ i f tˤ aː r
إقالة	ʔ i q aː l a
إقامة	ʔ i q aː m a
إقبال	ʔ i q b aː l
إقرار	ʔ i q r aː r
إقليل	ʔ i q l i l
إقليم	ʔ i q l i m
إقليمي	ʔ i q l i m iː
إقليميا	ʔ i q l i m i aː
إقليمية	ʔ i q l i m i a
إقناع	ʔ i q n aː ʕ
إقنيز	ʔ i q n i z
إكاف	ʔ i k aː f
إكتاب	ʔ i k t aː b
إكرام	ʔ i k r aː m
إكرامية	ʔ i k r aː m i a
إكسينون	ʔ i k s i n u n
إكليل	ʔ i k l i l
إكليل	ʔ i k l i l
إكوادور	ʔ i k u aː d u r
إل	ʔ i l
إل	ʔ i l
إلاهة	ʔ i l aː h a
إلحاح	ʔ i l ħ aː ħ
إلحاق	ʔ i l ħ aː q
إلزام	ʔ i l z aː m
إلزامي	ʔ i l z aː m iː
إلغاء	ʔ i l ɣ aː ʔ
إلف	ʔ i l f
إلكترون	ʔ i l k t r u n
إلكترون	ʔ i l k t r u n
إلكتروني	ʔ i l k t r u n iː
إلكترونيات	ʔ i l k t r u n i aː t
إله	ʔ i l h
إلهام	ʔ i l h aː m
إلهة	ʔ i l h a
إلهي	ʔ i l h iː
إلهيات	ʔ i l h i aː t
إلهين	ʔ i l h i n
إلوة	ʔ i l u a
إلى	ʔ i l aː
إلى	ʔ i l aː
إلياس	ʔ i l i aː s
إلية	ʔ i l i a
إليصابات	ʔ i l i sˤ aː b aː t
إما	ʔ i m aː
إماراتي	ʔ i m aː r aː t iː
إمالة	ʔ i m aː l a
إمامة	ʔ i m aː m a
إمبراطور	ʔ i m b r aː tˤ u r
إمبراطور	ʔ i m b r aː tˤ u r
إمبراطوري	ʔ i m b r aː tˤ u r iː
إمبراطورية	ʔ i m b r aː tˤ u r i a
إمبراطورية	ʔ i m b r aː tˤ u r i a
إمبريالي	ʔ i m b r i aː l iː
إمحاء	ʔ i m ħ aː ʔ
إمداد	ʔ i m d aː d
إمساكية	ʔ i m s aː k i a
إمضاء	ʔ i m dˤ aː ʔ
إمكان	ʔ i m k aː n
إمكانية	ʔ i m k aː n i a
إملاء	ʔ i m l aː ʔ
إمناء	ʔ i m n aː ʔ
إمهال	ʔ i m h aː l
إن	ʔ i n
إن	ʔ i n
إناء	ʔ i n aː ʔ
إنابة	ʔ i n aː b a
إنبيق	ʔ i n b i q
إنتاج	ʔ i n t aː dʒ
إنترنت	ʔ i n t r n t
إنترنت	ʔ i n t r n t
إنجاز	ʔ i n dʒ aː z
إنجلترا	ʔ i n dʒ l t r aː
إنجلترا	ʔ i n dʒ l t r aː
إنجليزي	ʔ i n dʒ l i z iː
إنجليزي	ʔ i n dʒ l i z iː
إنجليزي	ʔ i n dʒ l i z iː
إنجيل	ʔ i n dʒ i l
إندونيسي	ʔ i n d u n i s iː
إندونيسيا	ʔ i n d u n i s i aː
إنذار	ʔ i n ð aː r
إنزكان	ʔ i n z k aː n
إنس	ʔ i n s
إنسان	ʔ i n s aː n
إنسانة	ʔ i n s aː n a
إنسانيات	ʔ i n s aː n i aː t
إنسانية	ʔ i n s aː n i a
إنشاء	ʔ i n ʃ aː ʔ
إنصاف	ʔ i n sˤ aː f
إنفاذ	ʔ i n f aː ð
إنفاق	ʔ i n f aː q
إنفحة	ʔ i n f ħ a
إنقاض	ʔ i n q aː dˤ
إنكار	ʔ i n k aː r
إنكشاري	ʔ i n k ʃ aː r iː
إنكلية	ʔ i n k l i a
إنما	ʔ i n m aː
إنموذج	ʔ i n m u ð dʒ
إنهاء	ʔ i n h aː ʔ
إهاب	ʔ i h aː b
إهانة	ʔ i h aː n a
إهداء	ʔ i h d aː ʔ
إهليجي	ʔ i h l i dʒ iː
إهليلج	ʔ i h l i l dʒ
إهليلجي	ʔ i h l i l dʒ iː
إوز	ʔ i u z
إي	ʔ i iː
إيا	ʔ i i aː
إياب	ʔ i i aː b
إيارج	ʔ i i aː r dʒ
إياك	ʔ i i aː k
إياك	ʔ i i aː k
إيالة	ʔ i i aː l a
إيانا	ʔ i i aː n aː
إياهما	ʔ i i aː h m aː
إيثار	ʔ i i θ aː r
إيجاب	ʔ i i dʒ aː b
إيجابي	ʔ i i dʒ aː b iː
إيجابية	ʔ i i dʒ aː b i a
إيجاد	ʔ i i dʒ aː d
إيجار	ʔ i i dʒ aː r
إيجاز	ʔ i i dʒ aː z
إيدز	ʔ i i d z
إيذان	ʔ i i ð aː n
إيران	ʔ i i r aː n
إيريناوس	ʔ i i r i n aː w s
إيصاء	ʔ i i sˤ aː ʔ
إيضاح	ʔ i i dˤ aː ħ
إيطاليا	ʔ i i tˤ aː l i aː
إيعاز	ʔ i i ʕ aː z
إيقاظ	ʔ i i q aː ðˤ
إيقاع	ʔ i i q aː ʕ
إيلاف	ʔ i i l aː f
إيلام	ʔ i i l aː m
إيلياء	ʔ i i l i aː ʔ
إيمان	ʔ i i m aː n
إيموجي	ʔ i i m u dʒ iː
إيموجي	ʔ i i m u dʒ iː
إيموجي	ʔ i i m u dʒ iː
إيناس	ʔ i i n aː s
إيهام	ʔ i i h aː m
ئ	ʔ i
ا	aː
ا	aː
ا	aː
ا	aː
ا	aː
ا	aː
ائتلاف	aː ʔ i t l aː f
ائتلف	aː ʔ i t l f
ائتلق	aː ʔ i t l q
ائتمر	aː ʔ i t m r
ائتمن	aː ʔ i t m n
ائتنس	aː ʔ i t n s
ابتداء	aː b t d aː ʔ
ابتذل	aː b t ð l
ابتزاز	aː b t z aː z
ابتسام	aː b t s aː m
ابتسامة	aː b t s aː m a
ابتسم	aː b t s m
ابتعاد	aː b t ʕ aː d
ابتعد	aː b t ʕ d
ابتغى	aː b t ɣ aː
ابتكار	aː b t k aː r
ابتل	aː b t l
ابتلاش	aː b t l aː ʃ
ابتلال	aː b t l aː l
ابتلى	aː b t l aː
ابتناء	aː b t n aː ʔ
ابتنى	aː b t n aː
ابتهاج	aː b t h aː dʒ
ابتهال	aː b t h aː l
ابتهج	aː b t h dʒ
ابرغش	aː b r ɣ ʃ
ابشاي	aː b ʃ aː iː
ابن	aː b n
ابن	aː b n
ابنة	aː b n a
ات	aː t
اتبع	aː t b ʕ
اتجاه	aː t dʒ aː h
اتجاهات	aː t dʒ aː h aː t
اتجه	aː t dʒ h
اتحاد	aː t ħ aː d
اتحادي	aː t ħ aː d iː
اتحادية	aː t ħ aː d i a
اتحد	aː t ħ d
اتسام	aː t s aː m
اتسر	aː t s r
اتسع	aː t s ʕ
اتسم	aː t s m
اتصاف	aː t sˤ aː f
اتصال	aː t sˤ aː l
اتصف	aː t sˤ f
اتصل	aː t sˤ l
اتضاع	aː t dˤ aː ʕ
اتضح	aː t dˤ ħ
اتعاظ	aː t ʕ aː ðˤ
اتعد	aː t ʕ d
اتفاق	aː t f aː q
اتفاقي	aː t f aː q iː
اتفاقية	aː t f aː q i a
اتقد	aː t q d
اتكأ	aː t k ʔ a
اتهام	aː t h aː m
اتهم	aː t h m
اثنان	aː θ n aː n
اثنين	aː θ n i n
اجتاح	aː dʒ t aː ħ
اجتاز	aː dʒ t aː z
اجتذب	aː dʒ t ð b
اجتص	aː dʒ t sˤ
اجتلى	aː dʒ t l aː
اجتماع	aː dʒ t m aː ʕ
اجتماعي	aː dʒ t m aː ʕ iː
اجتمر	aː dʒ t m r
اجتنب	aː dʒ t n b
اجتنى	aː dʒ t n aː
اجتياز	aː dʒ t i aː z
اجرنثم	aː dʒ r n θ m
احتاج	aː ħ t aː dʒ
احتار	aː ħ t aː r
احتاز	aː ħ t aː z
احتج	aː ħ t dʒ
احتجاب	aː ħ t dʒ aː b
احتجاج	aː ħ t dʒ aː dʒ
احتجاز	aː ħ t dʒ aː z
احتجب	aː ħ t dʒ b
احتجز	aː ħ t dʒ z
احتراز	aː ħ t r aː z
احتراس	aː ħ t r aː s
احتراق	aː ħ t r aː q
احترام	aː ħ t r aː m
احترس	aː ħ t r s
احترف	aː ħ t r f
احترق	aː ħ t r q
احتساب	aː ħ t s aː b
احتسى	aː ħ t s aː
احتشام	aː ħ t ʃ aː m
احتشم	aː ħ t ʃ m
احتضن	aː ħ t dˤ n
احتفال	aː ħ t f aː l
احتفل	aː ħ t f l
احتفى	aː ħ t f aː
احتقار	aː ħ t q aː r
احتقر	aː ħ t q r
احتكار	aː ħ t k aː r
احتلال	aː ħ t l aː l
احتلام	aː ħ t l aː m
احتمالية	aː ħ t m aː l i a
احتمل	aː ħ t m l
احتياج	aː ħ t i aː dʒ
احتيار	aː ħ t i aː r
احلولى	aː ħ l u l aː
اختار	aː x t aː r
اختبأ	aː x t b ʔ a
اختبر	aː x t b r
اختتم	aː x t t m
اختراق	aː x t r aː q
اخترق	aː x t r q
اختزال	aː x t z aː l
اختزل	aː x t z l
اختص	aː x t sˤ
اختصار	aː x t sˤ aː r
اختصاص	aː x t sˤ aː sˤ
اختصام	aː x t sˤ aː m
اختصر	aː x t sˤ r
اختط	aː x t tˤ
اختطاف	aː x t tˤ aː f
اختطف	aː x t tˤ f
اختفاء	aː x t f aː ʔ
اختل	aː x t l
اختلاج	aː x t l aː dʒ
اختلاس	aː x t l aː s
اختلاف	aː x t l aː f
اختلال	aː x t l aː l
اختلس	aː x t l s
اختلط	aː x t l tˤ
اختلف	aː x t l f
اختنق	aː x t n q
اختيار	aː x t i aː r
اختياري	aː x t i aː r iː
اخضر	aː x dˤ r
اخلولق	aː x l u l q
ادثر	aː d θ r
ادعاء	aː d ʕ aː ʔ
ادعى	aː d ʕ aː
اذلولى	aː ð l u l aː
ارتأى	aː r t ʔ a aː
ارتاح	aː r t aː ħ
ارتاد	aː r t aː d
ارتاع	aː r t aː ʕ
ارتباط	aː r t b aː tˤ
ارتباك	aː r t b aː k
ارتبط	aː r t b tˤ
ارتبك	aː r t b k
ارتج	aː r t dʒ
ارتجاج	aː r t dʒ aː dʒ
ارتجال	aː r t dʒ aː l
ارتجف	aː r t dʒ f
ارتخاء	aː r t x aː ʔ
ارتخى	aː r t x aː
ارتدع	aː r t d ʕ
ارتزق	aː r t z q
ارتشف	aː r t ʃ f
ارتشى	aː r t ʃ aː
ارتعش	aː r t ʕ ʃ
ارتعى	aː r t ʕ aː
ارتفاع	aː r t f aː ʕ
ارتفاق	aː r t f aː q
ارتفع	aː r t f ʕ
ارتقب	aː r t q b
ارتقى	aː r t q aː
ارتكاز	aː r t k aː z
ارتمى	aː r t m aː
ارتياد	aː r t i aː d
ارتياع	aː r t i aː ʕ
ازداد	aː z d aː d
ازدان	aː z d aː n
ازدحم	aː z d ħ m
ازدراء	aː z d r aː ʔ
ازدهر	aː z d h r
ازديان	aː z d i aː n
استأتى	aː s t ʔ a t aː
استألف	aː s t ʔ a l f
استأم	aː s t ʔ a m
استأمر	aː s t ʔ a m r
استأمى	aː s t ʔ a m aː
استأنس	aː s t ʔ a n s
استأنف	aː s t ʔ a n f
استأهل	aː s t ʔ a h l
استأيك	aː s t ʔ a i k
استئجار	aː s t ʔ i dʒ aː r
استئمارة	aː s t ʔ i m aː r a
استئناف	aː s t ʔ i n aː f
استام	aː s t aː m
استباح	aː s t b aː ħ
استبان	aː s t b aː n
استبحر	aː s t b ħ r
استبد	aː s t b d
استبداد	aː s t b d aː d
استبدع	aː s t b d ʕ
استبرأ	aː s t b r ʔ a
استبصر	aː s t b sˤ r
استبق	aː s t b q
استبقى	aː s t b q aː
استثمار	aː s t θ m aː r
استثناء	aː s t θ n aː ʔ
استثنائي	aː s t θ n aː ʔ i iː
استجاب	aː s t dʒ aː b
استجار	aː s t dʒ aː r
استجمام	aː s t dʒ m aː m
استجهل	aː s t dʒ h l
استحال	aː s t ħ aː l
استحالة	aː s t ħ aː l a
استحجب	aː s t ħ dʒ b
استحصال	aː s t ħ sˤ aː l
استحصل	aː s t ħ sˤ l
استحضار	aː s t ħ dˤ aː r
استحضر	aː s t ħ dˤ r
استحق	aː s t ħ q
استحكام	aː s t ħ k aː m
استحم	aː s t ħ m
استحوذ	aː s t ħ u ð
استحيا	aː s t ħ i aː
استخبار	aː s t x b aː r
استخدام	aː s t x d aː m
استخدم	aː s t x d m
استخرج	aː s t x r dʒ
استخف	aː s t x f
استدرك	aː s t d r k
استدعاء	aː s t d ʕ aː ʔ
